spanish,french,english,russian,spanish synonyms,french synonyms,english synonyms,russian synonyms,tags,cefr_level
patata,pomme de terre,potato,картошка,papa,,,,food;plants_garden;noun_thing,A1
lechuga,laitue,lettuce,салат,,,,,food;plants_garden;noun_thing,A1
delfín,dauphin,dolphin,дельфин,,,,,animals;noun_thing,A2
salmón,saumon,salmon,лосось,,,,,food;animals;noun_thing,A2
trueno,tonnerre,thunder,гром,,,,,weather;noun_thing,B1
regla metálica,règle métallique,metal ruler,металлическая линейка,,,,,tools_diy;school;noun_thing,A2
zanahoria,carotte,carrot,морковь,,,,,food;plants_garden;noun_thing,A1
abeja,abeille,bee,пчела,,,,,animals;noun_thing,A2
rígido,rigide,rigid,жесткий,tieso,raide,stiff,твердый,textures_qualities;adjective,B2
halcón,faucon,falcon,сокол,,,,,animals;noun_thing,B1
cepillo eléctrico,raboteuse,electric planer,электрорубанок,cepilladora,rabot,,,tools_diy;noun_thing,C1
relámpago,éclair,lightning,молния,rayo,foudre,bolt,,weather;noun_thing,B1
jade,jade,jade,нефрит,,,,,materials;colors_patterns;noun_thing,B2
parámetro,paramètre,parameter,параметр,,,,,technology;abstract_concepts;noun_thing,B2
carnicero,boucher,butcher,мясник,,,,,professions;food;noun_person,A2
pesimismo,pessimisme,pessimism,пессимизм,negatividad,,negativity,негативизм,emotions;noun_thing,B2
compacto,compact,compact,компактный,denso,,dense,плотный,shapes_measurements;adjective,B1
puerta de embarque,porte d'embarquement,boarding gate,посадочная стойка,puerta de salida,,,,travel;transportation;noun_place,A2
pastilla de freno,plaquette de frein,brake pad,тормозная колодка,,,,,vehicle_parts;transportation;noun_thing,C1
lunares,pois,polka dots,горошек,topos,,,в горошек,colors_patterns;noun_thing,A2
ático,grenier,attic,чердак,desván;buhardilla;sobrado,,loft,мансарда,house;noun_place,B1
liso,lisse,smooth,гладкий,llano,uni,plain,,textures_qualities;adjective,A2
pulpo,pieuvre,octopus,осьминог,octópodo,poulpe,,,food;animals;noun_thing,A2
paño,chiffon,cloth,ткань,trapo,,rag,,household_cleaning;noun_thing,A2
escoba,balai,broom,метла,,,,,household_cleaning;noun_thing,A2
vector,vecteur,vector,вектор,,,,,shapes_measurements;technology;noun_thing,B2
acústica,acoustique,acoustics,акустика,,,,,music;technology;noun_thing,C1
pijama,pyjama,pajamas,пижама,,,,,clothing;house;noun_thing,A1
verdura,légume,vegetable,овощ,hortaliza,,,,food;plants_garden;noun_thing,A1
hormiga,fourmi,ant,муравей,,,,,animals;noun_thing,A2
mosquito,moustique,mosquito,комар,zancudo,,,,animals;noun_thing,A2
pepino,concombre,cucumber,огурец,,,,,food;plants_garden;noun_thing,A2
prótesis,prothèse,prosthesis,протез,,,,,health;accessibility;noun_thing,C1
router,routeur,router,роутер,enrutador,,,,technology;noun_thing,B1
gaviota,goéland,seagull,чайка,,mouette,gull,,animals;noun_thing,B1
páramo,lande,moor,пустошь,erial;yermo,,wasteland,,nature;places_geography;noun_place,C1
melón,melon,melon,дыня,,,,,food;plants_garden;noun_thing,A2
periférico,périphérique,peripheral,периферия,,,,,technology;noun_thing,C1
galleta,biscuit,cookie,печенье,,,biscuit,бисквит,food;noun_thing,A1
caverna,caverne,cavern,пещера,cueva,grotte,cave,грот,nature;places_geography;noun_place,A2
bombero,pompier,firefighter,пожарный,apagafuegos,,,,professions;law_society;noun_person,A2
cuarzo,quartz,quartz,кварц,,,,,materials;noun_thing,C1
ladera,versant,hillside,склон,falda,pente,slope,,nature;places_geography;noun_place,B2
cucaracha,cafard,cockroach,таракан,barata,blatte,,,animals;noun_thing,B1
grifo,robinet,faucet,кран,llave;canilla,,tap,,house;construction;noun_thing,A2
despensa,garde-manger,pantry,кладовая,alacena,,larder,чулан,house;food;noun_place,B1
yogur,yaourt,yogurt,йогурт,,,,,food;noun_thing,A1
bragas,culotte,panties,трусы,panti;bombacha,,,,clothing;noun_thing,A2
intermitente,clignotant,indicator,поворотник,luz de giro;direccional,,turn signal,,vehicle_parts;transportation;noun_thing,B1
lavadora,lave-linge,washing machine,стиральная машина,lavarropas,machine à laver,,,house;home_appliances;noun_thing,A1
cráter,cratère,crater,кратер,,,,,nature;places_geography;noun_place,B1
altavoz,haut-parleur,speaker,динамик,parlante;bocina,enceinte,loudspeaker,колонка,technology;music;noun_thing,A2
sábana,drap,sheet,простыня,,,,,house;furniture;noun_thing,A2
pradera,prairie,meadow,луг,prado,pré,prairie,поле,nature;places_geography;noun_place,B1
enchufe,fiche,plug,вилка,conector,prise mâle,,,technology;house;noun_thing,B1
interruptor,interrupteur,switch,выключатель,apagador;llave de luz,,,переключатель,technology;house;noun_thing,A2
diésel,gazole,diesel,дизель,gasoil,diesel,diesel fuel,солярка,transportation;materials;noun_thing,A2
ternera,veau,veal,телятина,,,,,food;animals;noun_thing,B1
trucha,truite,trout,форель,,,,,food;animals;noun_thing,B1
camello,chameau,camel,верблюд,,,,,animals;noun_thing,A2
ganso,oie,goose,гусь,oca,,,,animals;noun_thing,A2
levadura,levure,yeast,дрожжи,,,,,food;cooking;noun_thing,B1
altavoz inteligente,enceinte connectée,smart speaker,умная колонка,parlante inteligente,haut-parleur intelligent,,смарт-колонка,technology;house;noun_thing,B1
cafetera,cafetière,coffee maker,кофеварка,cafetera de filtro,,,кофемашина,cooking;home_appliances;noun_thing,A2
bufanda,écharpe,scarf,шарф,pañuelo;chalina,foulard,,платок;кашне,clothing;weather;noun_thing,A1
sandalias,sandales,sandals,сандалии,,,,,clothing;noun_thing,A1
remolque,remorque,trailer,прицеп,tráiler,,,трейлер,transportation;noun_thing,B1
acantilado,falaise,cliff,утёс,precipicio,précipice,precipice,обрыв,nature;places_geography;noun_place,B1
bombilla,ampoule,light bulb,лампочка,foco;lamparita;bombillo,,bulb;lamp,,technology;house;noun_thing,A2
bluetooth,Bluetooth,Bluetooth,блютус,,,,,technology;noun_thing,A2
termo,thermos,thermos,термос,botella termo,,,,travel;drink;noun_thing,A2
discordia,discorde,discord,раздор,desacuerdo,désaccord,disagreement,разногласие,emotions;abstract_concepts;noun_thing,C1
ansia,anxiété,anxiety,тревога,ansiedad,,,беспокойство,emotions;health;noun_thing,B2
jarra,pichet,jug,кувшин,jarro,,pitcher,графин,cooking;drink;noun_thing,A2
fragancia,fragrance,fragrance,аромат,aroma;perfume;olor,parfum;senteur,aroma;scent;perfume,дух;запах,personal_care;noun_thing,B1
narciso,narcisse,daffodil,нарцисс,,,,,plants_garden;noun_thing,B2
tibio,tiède,lukewarm,тепловатый,templado,,tepid,тёплый,textures_qualities;adjective,B1
salchicha,saucisse,sausage,колбаса,,,,,food;noun_thing,A2
ámbar,ambre,amber,янтарь,,,,,materials;colors_patterns;noun_thing,B2
monzón,mousson,monsoon,муссон,,,,,weather;noun_thing,B2
ardilla,écureuil,squirrel,белка,,,,,animals;noun_thing,A2
credencial,badge,badge,бейдж,identificación,carte d'identification,ID card;credential,удостоверение,work;school;noun_thing,B1
polen,pollen,pollen,пыльца,,,,,plants_garden;health;noun_thing,B1
bacalao,morue,cod,треска,abadejo,,,,food;animals;noun_thing,B1
abs,ABS,ABS,АБС,sistema antibloqueo de ruedas,,anti-lock braking system,антиблокировочная система,materials;vehicle_parts;noun_thing,C1
peine,peigne,comb,гребень,,,,,personal_care;noun_thing,A1
bufanda de lana,écharpe en laine,wool scarf,шерстяной шарф,,,,,clothing;weather;noun_thing,A2
glaciar,glacier,glacier,ледник,,,,,nature;places_geography;noun_place,B1
visiblemente,visiblement,visibly,видимо,notoriamente,notoirement,noticeably,заметно,adverb,B2
tableta,tablette,tablet,планшет,tablet,,,,technology;noun_thing,A2
champú,shampooing,shampoo,шампунь,,,,,personal_care;noun_thing,A1
panadero,boulanger,baker,пекарь,,,,,professions;food;noun_person,A2
colmena,ruche,beehive,улей,,,,,animals;plants_garden;noun_thing,B1
pimiento,poivron,bell pepper,болгарский перец,pimiento morrón,,sweet pepper,сладкий перец,food;plants_garden;noun_thing,A2
enfermero,infirmier,male nurse,медбрат,,,,,professions;health;noun_person,A2
poncho,poncho,poncho,пончо,,,,,clothing;weather;noun_thing,B1
calzoncillos,caleçon,underpants,трусы,calzones;calzoncillo,,briefs,,clothing;noun_thing,A2
sandía,pastèque,watermelon,арбуз,patilla;melón de agua,,,,food;plants_garden;noun_thing,A2
suéter,pull,sweater,свитер,jersey;pulóver,chandail,jumper,,clothing;weather;noun_thing,A1
soldadura,soudure,welding,сварка,,,,,tools_diy;construction;noun_thing,C1
cableado,câblage,wiring,проводка,,,,,technology;construction;noun_thing,B2
acné,acné,acne,акне,granos;espinillas,boutons,pimples,угри,health;body;noun_thing,B1
estaño,étain,tin,олово,,,,,materials;noun_thing,B2
transformador,transformateur,transformer,трансформатор,transfo,,,,technology;noun_thing,C1
rubí,rubis,ruby,рубин,,,,,materials;colors_patterns;noun_thing,B2
sujetador,soutien-gorge,bra,бюстгальтер,brasier;sostén;corpiño,,brassiere,лифчик,clothing;noun_thing,A2
inaccesible,inaccessible,inaccessible,недоступный,,,,,accessibility;adjective,B2
taladro,perceuse,drill,дрель,taladradora,,,,tools_diy;noun_thing,B1
dirección asistida,direction assistée,power steering,усилитель руля,,,,гидроусилитель,vehicle_parts;transportation;noun_thing,C1
blindaje,blindage,armor,броня,coraza,,armour,доспехи,vehicle_parts;law_society;noun_thing,B2
áspero,rugueux,rough,грубый,rugoso,rêche,coarse,шероховатый,textures_qualities;adjective,B1
calidez,chaleur humaine,warmth,теплота,calidez humana,chaleur,human warmth,радушие,emotions;textures_qualities;noun_thing,B2
foca,phoque,seal,тюлень,,,,,animals;noun_thing,B1
hormiguero,fourmilière,anthill,муравейник,,,ant nest,,animals;nature;noun_thing,B2
módem,modem,modem,модем,,,,,technology;noun_thing,B1
pañal,couche,diaper,подгузник,pañal desechable,couche-culotte,nappy,,baby_childcare;noun_thing,A2
costero,côtier,coastal,прибрежный,littoral,,,береговой,places_geography;adjective,B1
cereza,cerise,cherry,вишня,guinda,,,черешня,food;plants_garden;noun_thing,A2
estante,étagère,shelf,полка,anaquel;repisa,rayon,rack,стеллаж,furniture;house;noun_thing,A2
taladro de columna,perceuse à colonne,pillar drill,сверлильный станок,,,,,tools_diy;noun_thing,C1
moño,chignon,bun,пучок,rodete,,,,body;personal_care;noun_thing,B1
proyector,projecteur,projector,проектор,videoproyector,vidéoprojecteur,,видеопроектор,technology;media_communication;noun_thing,B1
desodorante,déodorant,deodorant,дезодорант,,,,,personal_care;noun_thing,A2
maletero,coffre,trunk,багажник,baúl;maletera;cajuela,,boot,,vehicle_parts;transportation;noun_thing,A2
frialdad,froideur,coldness,холодность,distancia;indiferencia,distance,aloofness,равнодушие,emotions;weather;noun_thing,B2
impermeable,imperméable,waterproof,водонепроницаемый,estanco,étanche,impervious,непроницаемый,weather;textures_qualities;adjective,B1
medusa,méduse,jellyfish,медуза,aguaviva;malagua,,,,animals;noun_thing,B1
detergente,détergent,detergent,детергент,,,,,household_cleaning;noun_thing,A2
sudadera,sweat,sweatshirt,толстовка,polerón;buzo,sweat-shirt,,,clothing;noun_thing,A2
sardina,sardine,sardine,сардина,,,,,food;animals;noun_thing,A2
cerrojo,pêne,bolt,задвижка,pasador,verrou,latch,засов,house;construction;noun_thing,B2
especia,épice,spice,специя,condimento;aliño,condiment,seasoning,приправа,food;cooking;noun_thing,A2
ermitaño,ermite,hermit,отшельник,anacoreta,,,,religion;noun_person,B2
papaya,papaye,papaya,папайя,lechosa;frutabomba,,,,food;plants_garden;noun_thing,A2
adaptador,adaptateur,adapter,адаптер,,,,,technology;noun_thing,B1
cebra,zèbre,zebra,зебра,,,,,animals;noun_thing,A1
crujiente,croquant,crunchy,хрустящий,crocante,croustillant,crispy,,food;textures_qualities;adjective,B1
escáner,scanner,scanner,сканер,digitalizador,,,,technology;noun_thing,A2
savia,sève,sap,сок,,,,,plants_garden;nature;noun_thing,B2
estampado,imprimé,print,принт,impreso,,pattern,рисунок,colors_patterns;clothing;noun_thing,B1
hostal,auberge,hostel,хостел,albergue,,inn,,travel;noun_place,A2
anguila,anguille,eel,угорь,,,,,food;animals;noun_thing,B2
opaco,opaque,opaque,непрозрачный,,,,,textures_qualities;adjective,B2
avispa,guêpe,wasp,оса,,,,,animals;noun_thing,B1
aceituna,olive,olive,маслина,,,,оливка,food;plants_garden;noun_thing,A2
polilla,mite,moth,моль,tine,,,,animals;noun_thing,B1
afiche,affiche,poster,плакат,póster;cartel,,,афиша,media_communication;art;noun_thing,A2
inalámbrico,sans fil,wireless,беспроводной,,,,,technology;adjective,B1
marisco,fruits de mer,seafood,морепродукты,,,,,food;animals;noun_thing,A2
muletas,béquilles,crutches,костыли,,,,,health;accessibility;noun_thing,B1
turquesa,turquoise,turquoise,бирюза,,,,,colors_patterns;materials;noun_thing,B1
jirafa,girafe,giraffe,жираф,,,,,animals;noun_thing,A1
montañoso,montagneux,mountainous,гористый,,,,,places_geography;adjective,B2
fregadero,évier,sink,раковина,pila,,basin,,house;construction;noun_thing,A2
kiwi,kiwi,kiwi,киви,,,,,food;plants_garden;noun_thing,A1
berenjena,aubergine,eggplant,баклажан,,,aubergine,,food;plants_garden;noun_thing,A2
melocotón,pêche,peach,персик,durazno,,,,food;plants_garden;noun_thing,A2
trenza,tresse,braid,коса,,natte,plait,,body;personal_care;noun_thing,B1
vasija,jarre,vessel,сосуд,recipiente,,jar,ёмкость,house;cooking;noun_thing,B2
bochorno,chaleur étouffante,stifling heat,душная жара,calor;sofoco,canicule,heatwave;mugginess,зной,weather;noun_thing,C1
cojín,coussin,cushion,подушка,almohada;almohadón,,pillow,декоративная подушка,furniture;house;noun_thing,A1
calcetín,chaussette,sock,носок,,,,,clothing;noun_thing,A1
arruga,ride,wrinkle,морщина,,,,,body;clothing;noun_thing,B1
absorbente,absorbant,absorbent,впитывающий,,,,,textures_qualities;adjective,B2
camaleón,caméléon,chameleon,хамелеон,,,,,animals;noun_thing,B1
airbag,airbag,airbag,подушка безопасности,bolsa de aire,coussin gonflable,,,vehicle_parts;transportation;noun_thing,B1
mapache,raton laveur,raccoon,енот,,,,,animals;noun_thing,B1
peca,tache de rousseur,freckle,веснушка,,,,,body;noun_thing,B1
saltamontes,sauterelle,grasshopper,кузнечик,chapulín,criquet,locust,саранча,animals;noun_thing,B1
nota adhesiva,note adhésive,sticky note,липкая записка,post-it,,post-it,стикер,school;work;noun_thing,A2
zafiro,saphir,sapphire,сапфир,,,,,materials;colors_patterns;noun_thing,B2
minimalista,minimaliste,minimalist,минималист,,,,,art;adjective,B2
pegajoso,collant,sticky,липкий,adhesivo,adhésif,tacky,клейкий,textures_qualities;adjective,B1
repelente,répulsif,repellent,репеллент,repelente de insectos,anti-moustiques,,средство от насекомых,personal_care;health;noun_thing,B1
barandilla,garde-corps,railing,перила,baranda;pasamanos,rampe;main courante,handrail,ограждение,house;construction;noun_thing,B1
morsa,morse,walrus,морж,,,,,animals;noun_thing,B1
brócoli,brocoli,broccoli,брокколи,brécol,,,,food;plants_garden;noun_thing,A2
arnés,harnais,harness,упряжь,,,,,tools_diy;sports;noun_thing,B2
señalización táctil,signalétique tactile,tactile signage,тактильный знак,,signalisation tactile,,,accessibility;media_communication;noun_thing,C1
braille,braille,braille,шрифт Брайля,,,,,accessibility;media_communication;noun_thing,B1
caldero,chaudron,cauldron,котел,olla,marmite,pot,кастрюля,cooking;noun_thing,B2
trineo,luge,sled,санки,,,sledge,салазки,transportation;sports;weather;noun_thing,B1
merluza,merlu,hake,хек,pescada,colin,,,food;animals;noun_thing,B2
lija,papier de verre,sandpaper,наждачная бумага,papel de lija,,,,tools_diy;noun_thing,B1
portafolios,porte-documents,briefcase,портфель,carpeta,,portfolio,,work;noun_thing,B1
flequillo,frange,bangs,челка,cerquillo;copete,,fringe,,body;personal_care;noun_thing,B1
ciruela,prune,plum,слива,,,,,food;plants_garden;noun_thing,A2
pantuflas,pantoufles,slippers,тапки,zapatillas,chaussons,,домашние туфли,clothing;house;noun_thing,A2
ampolla,ampoule,blister,волдырь,cloque,,,,health;body;noun_thing,A2
chupete,tétine,pacifier,пустышка,chupón;chupo,sucette,dummy,соска,baby_childcare;noun_thing,A2
tetera,théière,teapot,заварник,,,,,cooking;drink;noun_thing,A2
colcha,couvre-lit,bedspread,покрывало,cubrecama,dessus-de-lit,coverlet,,house;furniture;noun_thing,B2
chanclas,tongues,flip-flops,шлепанцы,chancletas;sandalias,claquettes,thongs;sandals,,clothing;travel;noun_thing,A2
raqueta de nieve,raquette à neige,snowshoe,снегоступ,,,,,sports;weather;noun_thing,B2
maceta colgante,pot suspendu,hanging pot,подвесной горшок,maceta suspendida,,hanging planter,,plants_garden;house;noun_thing,B2
triciclo,tricycle,tricycle,трёхколёсный велосипед,,,,,baby_childcare;transportation;noun_thing,A2
espinaca,épinard,spinach,шпинат,,,,,food;plants_garden;noun_thing,A2
cremoso,crémeux,creamy,сливочный,untuoso,onctueux,smooth,кремообразный,food;textures_qualities;adjective,B1
escarcha,givre,frost,иней,helada,gelée,,мороз,weather;noun_thing,B1
recibidor,entrée,foyer,прихожая,vestíbulo;hall,,entryway;hall,,house;noun_place,B1
curvo,courbe,curved,изогнутый,torcido,incurvé,bent,,shapes_measurements;adjective,B1
desván,grenier,attic,чердак,ático;buhardilla,,,,house;noun_place,B1
biberón,biberon,baby bottle,бутылочка,tetero;mamila;mamadera,,,,baby_childcare;drink;noun_thing,A2
cerámico,céramique,ceramic,керамика,,,,,materials;adjective,B2
gasoil,gazole,diesel,дизель,diésel,diesel,,солярка,transportation;materials;noun_thing,A2
magenta,magenta,magenta,маджента,,,,,colors_patterns;adjective,B2
analgésico,antalgique,analgesic,анальгетик,calmante,calmant,painkiller,обезболивающее,health;noun_thing,B2
coliflor,chou-fleur,cauliflower,цветная капуста,,,,,food;plants_garden;noun_thing,A2
broca,foret,drill bit,сверло,mecha,mèche,,,tools_diy;noun_thing,B2
camisón,chemise de nuit,nightgown,ночная рубашка,,,nightdress,,clothing;house;noun_thing,B1
codorniz,caille,quail,перепел,,,,,food;animals;noun_thing,B2
óvalo,ovale,oval,овал,,,,,shapes_measurements;noun_thing,A2
azucarero,sucrier,sugar bowl,сахарница,,,,,cooking;noun_thing,B1
pasamanos,rampe,handrail,перила,barandilla,main courante,,,accessibility;construction;noun_thing,B1
corralito,parc pour bébé,playpen,манеж,corral,,baby enclosure,,baby_childcare;noun_thing,B2
hematoma,ecchymose,bruise,синяк,moretón;cardenal,bleu,hematoma,гематома,health;body;noun_thing,B1
contraportada,quatrième de couverture,back cover,задняя обложка,contratapa,,,,literature;media_communication;noun_thing,B1
lavavajillas,lave-vaisselle,dishwasher,посудомоечная машина,,,,,home_appliances;household_cleaning;noun_thing,A2
resbaladizo,glissant,slippery,скользкий,escurridizo,,,,textures_qualities;adjective,B1
mesilla,table de chevet,bedside table,прикроватная тумбочка,mesita de noche,,nightstand,,house;furniture;noun_thing,A2
clorofila,chlorophylle,chlorophyll,хлорофилл,,,,,plants_garden;nature;noun_thing,B2
edredón,édredon,quilt,одеяло,acolchado;plumón,couette,duvet,пуховое одеяло,house;furniture;noun_thing,A2
lámina,feuille,sheet,лист,hoja;plancha,plaque,leaf;plaque,пластина,materials;media_communication;noun_thing,A2
soplete,chalumeau,blowtorch,горелка,,,,,tools_diy;noun_thing,C1
fregona,serpillière,mop,швабра,trapeador;mopa,,,,household_cleaning;noun_thing,A2
faisán,faisan,pheasant,фазан,,,,,food;animals;noun_thing,B2
salero,salière,salt shaker,солонка,,,,,cooking;food;noun_thing,B1
viscoso,visqueux,viscous,вязкий,espeso,,,,textures_qualities;adjective,C1
pradera alpina,alpage,alpine meadow,альпийский луг,,,,,nature;places_geography;noun_place,C1
antiséptico,antiseptique,antiseptic,антисептик,desinfectante,désinfectant,disinfectant,дезинфицирующее средство,health;noun_thing,B2
alcalino,alcalin,alkaline,щелочной,básico,basique,basic,основной,materials;adjective,C1
coordenada,coordonnée,coordinate,координата,,,,,shapes_measurements;noun_thing,B2
paragolpes,pare-chocs,bumper,бампер,parachoques,,,,vehicle_parts;transportation;noun_thing,B1
ágata,agate,agate,агат,,,,,materials;colors_patterns;noun_thing,C1
rococó,rococo,rococo,рококо,,,,,art;adjective,C1
andador,déambulateur,walker,ходунки,caminador,,,,health;accessibility;noun_thing,B1
narcótico,narcotique,narcotic,наркотик,estupefaciente;droga,stupéfiant;drogue,drug,наркотическое средство,health;noun_thing,B2
mirilla,judas,peephole,глазок,mirilla de puerta,,,,house;construction;noun_thing,B2
ventisca,blizzard,blizzard,метель,nevasca;temporal,tempête de neige,,пурга,weather;noun_thing,B2
grapa,agrafe,staple,скоба,gancho,,,,school;work;noun_thing,B1
plumón,couette,duvet,пуховое одеяло,edredón,édredon,comforter,одеяло,house;furniture;noun_thing,B1
perchero mural,patère,wall hook,настенный крючок,perchero de pared,porte-manteau mural,,,house;furniture;noun_thing,B1
balda,étagère,shelf,полка,estante;repisa,,ledge,этажерка,house;furniture;noun_thing,A2
ayllu,communauté andine,ayllu,айлью,,,,,law_society;noun_thing,C2
guisante,pois,pea,горох,arveja;chícharo;petipuá,,,,food;plants_garden;noun_thing,A2
carpeta de anillas,classeur à anneaux,ring binder,папка на кольцах,archivador,,,,school;work;noun_thing,B1
amatista,améthyste,amethyst,аметист,,,,,materials;colors_patterns;noun_thing,B2
fiordo,fjord,fjord,фьорд,,,,,nature;places_geography;noun_place,B2
pestillo,loquet,latch,щеколда,picaporte,targette,,,house;construction;noun_thing,B2
encerado,ciré,oilcloth,клеёнка,hule,toile cirée,,,materials;house;noun_thing,C1
cian,cyan,cyan,циан,,,,,colors_patterns;adjective,B2
trastero,débarras,storage room,кладовка,cuarto de trebejos;bodega,,,подсобка,house;noun_place,B1
camelia,camélia,camellia,камелия,,,,,plants_garden;noun_thing,C1
topacio,topaze,topaz,топаз,,,,,materials;colors_patterns;noun_thing,B2
parka,parka,parka,парка,anorak,,,,clothing;weather;noun_thing,B1
almohadón,grand coussin,large cushion,большая подушка,cojín grande,,,,house;furniture;noun_thing,A2
rugoso,rugueux,rough,шероховатый,áspero,rêche,coarse,грубый,textures_qualities;adjective,B1
crisantemo,chrysanthème,chrysanthemum,хризантема,,,,,plants_garden;noun_thing,B2
poroso,poreux,porous,пористый,,,,,textures_qualities;adjective,B2
conversor,convertisseur,converter,конвертер,convertidor,,,,technology;noun_thing,B2
biodegradable,biodégradable,biodegradable,биоразлагаемый,,,,,law_society;nature;adjective,B2
lenguado,sole,sole,морской язык,,,,,food;animals;noun_thing,B2
reutilizable,réutilisable,reusable,многоразовый,,,,,law_society;nature;adjective,B1
mandolina,mandoline,mandolin,мандолина,,,,,cooking;noun_thing,C1
bajamar,marée basse,low tide,отлив,marea baja,,,,nature;weather;noun_thing,B1
reciclable,recyclable,recyclable,перерабатываемый,,,,,law_society;nature;adjective,B1
abejorro,bourdon,bumblebee,шмель,,,,,animals;noun_thing,B2
perforadora,perceuse,drill,дрель,taladradora,perforatrice,,,tools_diy;noun_thing,B1
suavizante,adoucissant,softener,смягчитель,,,,,household_cleaning;noun_thing,B1
sonajero,hochet,rattle,погремушка,sonaja,,,,baby_childcare;noun_thing,B1
rallador,râpe,grater,тёрка,rallo,,,,cooking;noun_thing,B1
pleamar,marée haute,high tide,прилив,marea alta,,,,nature;weather;noun_thing,B1
explícito,explicite,explicit,явный,,,,,media_communication;adjective,B2
botijo,botijo,botijo,глиняный кувшин для воды,cántaro,,,,drink;house;noun_thing,C2
anémona,anémone,anemone,анемона,,,,,plants_garden;nature;noun_thing,C1
batidor,fouet,whisk,венчик,batidora,,,,cooking;noun_thing,B1
pescadero,poissonnier,fishmonger,продавец рыбы,,,,,food;professions;noun_person,B2
autocaravana,camping-car,motorhome,автодом,casa rodante,,campervan,,travel;transportation;noun_thing,B1
cabecero,tête de lit,headboard,изголовье,respaldo;cabecera,,,,house;furniture;noun_thing,B2
meandro,méandre,meander,меандр,curva,virage,,,nature;places_geography;noun_place,C1
jamba,huisserie,jamb,косяк,marco,montant;encadrement,,,house;construction;noun_thing,C1
plomada,fil à plomb,plumb line,отвес,,,,,tools_diy;construction;noun_thing,C1
exprimidor,presse-agrumes,juicer,соковыжималка,sacajugos,,,,cooking;drink;noun_thing,A2
ónix,onyx,onyx,оникс,,,,,materials;colors_patterns;noun_thing,C1
ensaladera,saladier,salad bowl,салатник,,,,,cooking;food;noun_thing,A2
pimentero,poivrier,pepper mill,перечница,,,,,cooking;food;noun_thing,B1
grapadora,agrafeuse,stapler,степлер,engrapadora,,,,school;work;noun_thing,A2
mosquetón,mousqueton,carabiner,карабин,,,,,sports;travel;tools_diy;noun_thing,B2
portaequipajes,porte-bagages,luggage rack,багажник,baca,galerie,,,travel;transportation;vehicle_parts;noun_thing,A2
climatizador,climatiseur,air conditioner,кондиционер,aire acondicionado,climatisation,,,home_appliances;weather;noun_thing,A2
somier,sommier,bed base,каркас кровати,base de cama,,,,house;furniture;noun_thing,B2
trona,chaise haute,high chair,высокий стул,silla alta;periquera,,,,baby_childcare;furniture;noun_thing,A2
rótulo,enseigne,sign,вывеска,letrero,,,,media_communication;shopping;noun_thing,A2
rocalla,rocaille,rock garden,альпинарий,jardín de rocas,,,,plants_garden;materials;noun_thing,C1
raspador,grattoir,scraper,скребок,rasqueta,racloir,,,tools_diy;household_cleaning;noun_thing,B2
pelador,éplucheur,peeler,овощечистка,pelapapas,économe,,экономка,cooking;noun_thing,B1
regleta,multiprise,power strip,удлинитель,zapatilla;multicontacto,bloc multiprise,multisocket,,technology;house;noun_thing,B1
escoplo,burin,chisel,зубило,cincel,,,,tools_diy;noun_thing,B2
formón,bédane,gouge,стамеска,gubia,,,,tools_diy;noun_thing,C1
colutorio,bain de bouche,mouthwash,ополаскиватель,enjuague bucal,,,,personal_care;health;noun_thing,B1
lebrillo,bassine,basin,таз,barreño,cuvette,,,cooking;household_cleaning;noun_thing,C1
colchón antiescaras,matelas anti-escarres,pressure relief mattress,матрас против пролежней,,,,,health;accessibility;furniture;noun_thing,C1
atornillador,tournevis,screwdriver,отвёртка,destornillador,,,,tools_diy;noun_thing,A2
cordino,cordelette,cord,шнур,,,,,sports;travel;tools_diy;noun_thing,B2
subrayador,surligneur,highlighter,маркер,resaltador,marqueur,,выделитель,school;work;noun_thing,A2
compostera,composteur,composter,компостер,compostador,,,,plants_garden;household_cleaning;noun_thing,B2
prolongador,rallonge,extension cord,удлинитель,alargador;extensión,rallonge électrique,extension cable,удлинительный кабель,technology;house;noun_thing,B1
espinillera,protège-tibias,shin guard,щиток,canillera,,,защита на голень,sports;clothing;noun_thing,B1
